mean,std_err,muestra,fraccion,n_train,modelo
0.9957131602882217,NA,Entrenamiento,0.25,200,SVM
0.9815054429295366,0.010421664206351688,Validación,0.25,200,SVM
0.9993247415180682,NA,Entrenamiento,0.25,200,k-NN
0.9821084282516087,0.005655374218228966,Validación,0.25,200,k-NN
0.9920753131027231,NA,Entrenamiento,0.25,200,Naive Bayes
0.9810162407132379,0.005519358673474827,Validación,0.25,200,Naive Bayes
0.9995137373439041,NA,Entrenamiento,0.25,200,RF
0.9745683916378767,0.005568314347458986,Validación,0.25,200,RF
0.9841550580454419,NA,Entrenamiento,0.25,200,GBM
0.9049218733212714,0.03066174574410269,Validación,0.25,200,GBM
0.993403548083861,NA,Entrenamiento,0.5,400,SVM
0.9895788414985819,0.0016085754591443448,Validación,0.5,400,SVM
0.99839024101514,NA,Entrenamiento,0.5,400,k-NN
0.9747409897881142,0.002648767323499278,Validación,0.5,400,k-NN
0.986011977020684,NA,Entrenamiento,0.5,400,Naive Bayes
0.9789305347401978,0.002655266922057188,Validación,0.5,400,Naive Bayes
0.9986970216592774,NA,Entrenamiento,0.5,400,RF
0.9830942345032321,8.685861237311294e-4,Validación,0.5,400,RF
0.9915480234881611,NA,Entrenamiento,0.5,400,GBM
0.9810778596893154,0.004494652402706068,Validación,0.5,400,GBM
0.9931035516301621,NA,Entrenamiento,0.75,600,SVM
0.9889431507358717,0.0015950999833687829,Validación,0.75,600,SVM
0.9978356163539893,NA,Entrenamiento,0.75,600,k-NN
0.9798459365534263,6.558109569199378e-4,Validación,0.75,600,k-NN
0.9852208157410595,NA,Entrenamiento,0.75,600,Naive Bayes
0.9809978553298258,0.0019965639876805183,Validación,0.75,600,Naive Bayes
0.9983310519385434,NA,Entrenamiento,0.75,600,RF
0.9843187560192033,0.002348917299329067,Validación,0.75,600,RF
0.9900104183195251,NA,Entrenamiento,0.75,600,GBM
0.9847763540730238,0.002249913877307602,Validación,0.75,600,GBM
0.9913118969895075,NA,Entrenamiento,1,800,SVM
0.9869150547150797,0.0017648484204553273,Validación,1,800,SVM
0.9972239050120187,NA,Entrenamiento,1,800,k-NN
0.9750876665810593,0.007710156013719631,Validación,1,800,k-NN
0.9843820841568942,NA,Entrenamiento,1,800,Naive Bayes
0.9799338247556502,0.0013940886888753918,Validación,1,800,Naive Bayes
0.9978839247943718,NA,Entrenamiento,1,800,RF
0.983058514600823,0.0025209900913050524,Validación,1,800,RF
0.9895167746448802,NA,Entrenamiento,1,800,GBM
0.9849980300099209,0.0027936773783200915,Validación,1,800,GBM
