cost,rbf_sigma,.metric,.estimator,mean,n,std_err,.config,modelo,neighbors,weight_func,dist_power,smoothness,Laplace,mtry,min_n,tree_depth,learn_rate,loss_reduction,sample_size
NA,NA,pr_auc,binary,0.9871184477648195,5,0.0019665151437390773,pre0_mod36_post0,GBM,NA,NA,NA,NA,NA,7,5,1,0.03,0.01,0.9
NA,NA,roc_auc,binary,0.9402182102683356,5,0.008110573652298983,pre0_mod36_post0,GBM,NA,NA,NA,NA,NA,7,5,1,0.03,0.01,0.9
NA,NA,pr_auc,binary,0.9810025073974775,5,0.0020942844147907183,pre0_mod5_post0,Naive Bayes,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA
NA,NA,roc_auc,binary,0.9131096138614936,5,0.007118793343623114,pre0_mod5_post0,Naive Bayes,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA
NA,NA,pr_auc,binary,0.9846046250760212,5,0.0034886770291137114,pre0_mod2_post0,RF,NA,NA,NA,NA,NA,3,15,NA,NA,NA,NA
NA,NA,roc_auc,binary,0.9316271076922705,5,0.012089466986488625,pre0_mod2_post0,RF,NA,NA,NA,NA,NA,3,15,NA,NA,NA,NA
10,0.01,pr_auc,binary,0.9880233568742073,5,0.0021564001907688596,pre0_mod7_post0,SVM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.01,roc_auc,binary,0.9451255001380314,5,0.009013435479795384,pre0_mod7_post0,SVM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,pr_auc,binary,0.9769270916595083,5,0.00520259235542738,pre0_mod16_post0,k-NN,25,triangular,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,roc_auc,binary,0.9047308024751635,5,0.013739351696299657,pre0_mod15_post0,k-NN,25,triangular,1,NA,NA,NA,NA,NA,NA,NA,NA
