variable,componente,carga,abs_carga
monday,PC1,0.25829474194507035,0.25829474194507035
monday,PC2,-0.005794205063256829,0.005794205063256829
monday,PC3,-0.024149881821082134,0.024149881821082134
tuesday,PC1,0.2576283630675746,0.2576283630675746
tuesday,PC2,0.008257567427099167,0.008257567427099167
tuesday,PC3,-0.030830528790033156,0.030830528790033156
wednesday,PC1,0.2573603408832948,0.2573603408832948
wednesday,PC2,0.00663637466857741,0.00663637466857741
wednesday,PC3,-0.024695824362911855,0.024695824362911855
thursday,PC1,0.25746693221611255,0.25746693221611255
thursday,PC2,0.00928006201090498,0.00928006201090498
thursday,PC3,-0.03143378948903989,0.03143378948903989
friday,PC1,0.25839444301075865,0.25839444301075865
friday,PC2,0.0027110098314540375,0.0027110098314540375
friday,PC3,-0.01944272069383993,0.01944272069383993
saturday,PC1,0.2586846828581875,0.2586846828581875
saturday,PC2,-0.05238672813654711,0.05238672813654711
saturday,PC3,-1.0396401956276553e-4,1.0396401956276553e-4
sunday,PC1,0.25736517066003495,0.25736517066003495
sunday,PC2,-0.06567849763153025,0.06567849763153025
sunday,PC3,0.03530245535189836,0.03530245535189836
weekday_morning,PC1,0.2585628052777238,0.2585628052777238
weekday_morning,PC2,-0.0286972371649975,0.0286972371649975
weekday_morning,PC3,-0.02502218616722548,0.02502218616722548
weekday_afternoon,PC1,0.2582679614306362,0.2582679614306362
weekday_afternoon,PC2,-0.024339096246352554,0.024339096246352554
weekday_afternoon,PC3,-0.008938812560397818,0.008938812560397818
weekday_evening,PC1,0.2575162316507836,0.2575162316507836
weekday_evening,PC2,-0.035486414483757854,0.035486414483757854
weekday_evening,PC3,-0.041644417439160177,0.041644417439160177
weekday_night,PC1,0.2550442886299928,0.2550442886299928
weekday_night,PC2,0.06648050662331491,0.06648050662331491
weekday_night,PC3,0.06828257143174467,0.06828257143174467
weekend_morning,PC1,0.2574693663291658,0.2574693663291658
weekend_morning,PC2,-0.07199510170066029,0.07199510170066029
weekend_morning,PC3,0.007581772914368333,0.007581772914368333
weekend_afternoon,PC1,0.2573825312649161,0.2573825312649161
weekend_afternoon,PC2,-0.06524026829708841,0.06524026829708841
weekend_afternoon,PC3,0.037786266323572244,0.037786266323572244
weekend_evening,PC1,0.2556656176483495,0.2556656176483495
weekend_evening,PC2,-0.0807930165051738,0.0807930165051738
weekend_evening,PC3,-0.019122811425536484,0.019122811425536484
weekend_night,PC1,0.2560831138034602,0.2560831138034602
weekend_night,PC2,0.04107108024213202,0.04107108024213202
weekend_night,PC3,0.10395244002428908,0.10395244002428908
prop_weekend,PC1,-0.057291899129863176,0.057291899129863176
prop_weekend,PC2,-0.667713459984272,0.667713459984272
prop_weekend,PC3,0.7300656361682721,0.7300656361682721
prop_night,PC1,0.052766147871197426,0.052766147871197426
prop_night,PC2,0.7225736165736454,0.7225736165736454
prop_night,PC3,0.6651979495105348,0.6651979495105348
